"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 05 04:17:46 UTC 2026","Thu Feb 05 04:17:52 UTC 2026","5527","tests.devcon","test_registration","","","","test_tc_unconfirmed_restricts_profile_creation[chromium]",""
"broken","Thu Feb 05 04:17:14 UTC 2026","Thu Feb 05 04:17:14 UTC 2026","0","tests.devcon","test_home","","","","test_spaces_is_accessible[chromium]",""
"failed","Thu Feb 05 04:17:52 UTC 2026","Thu Feb 05 04:17:58 UTC 2026","5754","tests.devcon","test_registration","","","","test_tc_confirmed_enables_profile_creation[chromium]",""
"broken","Thu Feb 05 04:17:14 UTC 2026","Thu Feb 05 04:17:14 UTC 2026","0","tests.devcon","test_notes","","","","test_create_and_save_note[chromium]",""
"failed","Thu Feb 05 04:17:36 UTC 2026","Thu Feb 05 04:17:41 UTC 2026","5237","tests.devcon","test_onboarding_steps","","","","test_onboarding_steps_normal[chromium]",""
"broken","Thu Feb 05 04:18:09 UTC 2026","Thu Feb 05 04:18:39 UTC 2026","30254","tests.devcon","test_registration","","","","test_register_with_proposed_name[chromium]",""
"passed","Thu Feb 05 04:19:10 UTC 2026","Thu Feb 05 04:19:10 UTC 2026","0","tests","test_config","","","","test_base_url",""
"failed","Thu Feb 05 04:17:41 UTC 2026","Thu Feb 05 04:17:46 UTC 2026","5246","tests.devcon","test_onboarding_steps","","","","test_onboarding_steps_reverse[chromium]",""
"failed","Thu Feb 05 04:17:30 UTC 2026","Thu Feb 05 04:17:36 UTC 2026","5579","tests.devcon","test_onboarding_steps","","","","test_redirect_unregistered[chromium]",""
"failed","Thu Feb 05 04:18:03 UTC 2026","Thu Feb 05 04:18:09 UTC 2026","5256","tests.devcon","test_registration","","","","test_username_proposal[chromium]",""
"broken","Thu Feb 05 04:18:39 UTC 2026","Thu Feb 05 04:19:10 UTC 2026","30498","tests.devcon","test_registration","","","","test_register_with_custom_name[chromium]",""
"failed","Thu Feb 05 04:17:14 UTC 2026","Thu Feb 05 04:17:30 UTC 2026","15769","tests.devcon","test_onboarding_steps","","","","test_app_is_accessible[chromium]",""
"failed","Thu Feb 05 04:17:58 UTC 2026","Thu Feb 05 04:18:03 UTC 2026","5269","tests.devcon","test_registration","","","","test_profile_creation_is_accessible_directly[chromium]",""
"broken","Thu Feb 05 04:16:42 UTC 2026","Thu Feb 05 04:16:42 UTC 2026","0","tests.devcon","test_home","","","","test_agenda_is_accessible[chromium]",""
