"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 21 04:51:49 UTC 2026","Tue Apr 21 04:51:51 UTC 2026","2561","tests.devcon","test_registration","","","","test_tc_confirmed_enables_profile_creation[chromium]",""
"passed","Tue Apr 21 04:51:26 UTC 2026","Tue Apr 21 04:51:31 UTC 2026","5394","tests.devcon","test_onboarding_steps","","","","test_redirect_unregistered[chromium]",""
"broken","Tue Apr 21 04:50:43 UTC 2026","Tue Apr 21 04:50:43 UTC 2026","0","tests.devcon","test_home","","","","test_agenda_is_accessible[chromium]",""
"failed","Tue Apr 21 04:51:39 UTC 2026","Tue Apr 21 04:51:46 UTC 2026","7177","tests.devcon","test_onboarding_steps","","","","test_onboarding_steps_reverse[chromium]",""
"broken","Tue Apr 21 04:51:16 UTC 2026","Tue Apr 21 04:51:16 UTC 2026","0","tests.devcon","test_home","","","","test_spaces_is_accessible[chromium]",""
"broken","Tue Apr 21 04:52:03 UTC 2026","Tue Apr 21 04:52:35 UTC 2026","32084","tests.devcon","test_registration","","","","test_register_with_proposed_name[chromium]",""
"broken","Tue Apr 21 04:51:16 UTC 2026","Tue Apr 21 04:51:16 UTC 2026","0","tests.devcon","test_notes","","","","test_create_and_save_note[chromium]",""
"passed","Tue Apr 21 04:53:07 UTC 2026","Tue Apr 21 04:53:07 UTC 2026","0","tests","test_config","","","","test_base_url",""
"passed","Tue Apr 21 04:51:59 UTC 2026","Tue Apr 21 04:52:01 UTC 2026","2094","tests.devcon","test_registration","","","","test_username_proposal[chromium]",""
"failed","Tue Apr 21 04:51:51 UTC 2026","Tue Apr 21 04:51:58 UTC 2026","7121","tests.devcon","test_registration","","","","test_profile_creation_is_accessible_directly[chromium]",""
"failed","Tue Apr 21 04:51:32 UTC 2026","Tue Apr 21 04:51:39 UTC 2026","7190","tests.devcon","test_onboarding_steps","","","","test_onboarding_steps_normal[chromium]",""
"broken","Tue Apr 21 04:52:35 UTC 2026","Tue Apr 21 04:53:07 UTC 2026","32203","tests.devcon","test_registration","","","","test_register_with_custom_name[chromium]",""
"passed","Tue Apr 21 04:51:46 UTC 2026","Tue Apr 21 04:51:49 UTC 2026","2215","tests.devcon","test_registration","","","","test_tc_unconfirmed_restricts_profile_creation[chromium]",""
"failed","Tue Apr 21 04:51:17 UTC 2026","Tue Apr 21 04:51:26 UTC 2026","9238","tests.devcon","test_onboarding_steps","","","","test_app_is_accessible[chromium]",""
